COBERTURA,PERIODICIDAD,FECHA,CONCEPTO,VALOR,UNIDAD_MEDIDA,ESTATUS
Nacional,Mensual,	2003-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",53.525440675316,Índice,Cifras definitivas
Nacional,Mensual,	2003-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",53.674122454969,Índice,Cifras definitivas
Nacional,Mensual,	2003-03-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",54.012930412786,Índice,Cifras definitivas
Nacional,Mensual,	2003-04-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",54.10514419947,Índice,Cifras definitivas
Nacional,Mensual,	2003-05-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",53.930559670749,Índice,Cifras definitivas
Nacional,Mensual,	2003-06-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",53.975112399147,Índice,Cifras definitivas
Nacional,Mensual,	2003-07-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",54.053338701333,Índice,Cifras definitivas
Nacional,Mensual,	2003-08-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",54.215489910502,Índice,Cifras definitivas
Nacional,Mensual,	2003-09-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",54.538238163897,Índice,Cifras definitivas
Nacional,Mensual,	2003-10-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",54.738207386707,Índice,Cifras definitivas
Nacional,Mensual,	2003-11-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",55.19254160537,Índice,Cifras definitivas
Nacional,Mensual,	2003-12-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",55.429810786838,Índice,Cifras definitivas
Nacional,Mensual,	2004-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",55.77431734945,Índice,Cifras definitivas
Nacional,Mensual,	2004-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.107944757453,Índice,Cifras definitivas
Nacional,Mensual,	2004-03-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.298070935617,Índice,Cifras definitivas
Nacional,Mensual,	2004-04-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.383031952562,Índice,Cifras definitivas
Nacional,Mensual,	2004-05-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.241602942647,Índice,Cifras definitivas
Nacional,Mensual,	2004-06-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.331744509406,Índice,Cifras definitivas
Nacional,Mensual,	2004-07-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.479390179097,Índice,Cifras definitivas
Nacional,Mensual,	2004-08-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.82804118156,Índice,Cifras definitivas
Nacional,Mensual,	2004-09-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",57.297917049664,Índice,Cifras definitivas
Nacional,Mensual,	2004-10-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",57.694747165395,Índice,Cifras definitivas
Nacional,Mensual,	2004-11-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",58.186899397697,Índice,Cifras definitivas
Nacional,Mensual,	2004-12-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",58.307088153376,Índice,Cifras definitivas
Nacional,Mensual,	2005-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",58.309160373301,Índice,Cifras definitivas
Nacional,Mensual,	2005-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",58.503430991316,Índice,Cifras definitivas
